node,avg_spread
0,6.122
1,1.299
2,1.183
3,1.302
4,1.15
5,1.308
6,1.1
7,2.241
8,1.125
9,2.319
10,1.229
11,1.077
12,1.09
13,1.505
14,1.236
15,1.05
16,1.215
17,1.205
18,1.042
19,1.204
20,1.179
21,2.635
22,1.222
23,1.252
24,1.229
25,2.052
26,2.129
27,1.116
28,1.229
29,1.179
30,1.281
31,1.365
32,1.419
33,1.106
34,1.327
35,1.094
36,1.379
37,1.058
38,1.171
39,1.3
40,1.82
41,1.476
42,1.06
43,1.039
44,1.108
45,1.267
46,1.089
47,1.271
48,1.375
49,1.108
50,1.231
51,1.149
52,1.067
53,1.512
54,1.403
55,1.39
56,2.22
57,1.239
58,2.857
59,1.336
60,1.105
61,1.205
62,1.493
63,1.1
64,1.137
65,1.235
66,1.338
67,2.744
68,1.115
69,1.186
70,1.078
71,1.134
72,1.432
73,1.123
74,1.062
75,1.297
76,1.073
77,1.102
78,1.17
79,1.314
80,1.351
81,1.062
82,1.514
83,1.109
84,1.232
85,1.259
86,1.143
87,1.451
88,1.292
89,1.152
90,1.049
91,1.122
92,1.305
93,1.296
94,1.384
95,1.112
96,1.146
97,1.067
98,1.882
99,1.163
100,1.168
101,1.321
102,1.107
103,1.33
104,1.557
105,1.282
106,1.135
107,69.502
108,1.221
109,1.646
110,1.11
111,1.221
112,1.373
113,1.764
114,1.028
115,1.391
116,1.276
117,1.122
118,1.804
119,1.989
120,1.608
121,1.22
122,2.282
123,1.53
124,1.076
125,1.786
126,1.11
127,1.229
128,1.511
129,1.127
130,1.495
131,1.133
132,1.354
133,1.354
134,1.371
135,1.158
136,32.526
137,1.216
138,1.115
139,1.157
140,1.165
141,1.552
142,1.703
143,1.165
144,1.229
145,1.041
146,1.555
147,1.152
148,1.449
149,1.17
150,1.273
151,1.103
152,1.269
153,1.107
154,1.121
155,1.084
156,1.871
157,1.058
158,1.43
159,1.225
160,1.08
161,1.726
162,1.106
163,1.123
164,1.067
165,1.203
166,1.081
167,1.103
168,1.184
169,1.649
170,1.709
171,1.925
172,1.699
173,1.242
174,1.218
175,1.247
176,1.478
177,1.185
178,1.186
179,1.084
180,1.316
181,1.111
182,1.087
183,1.071
184,1.274
185,1.422
186,1.798
187,1.213
188,1.787
189,1.172
190,1.246
191,1.076
192,1.26
193,1.101
194,1.528
195,1.125
196,1.217
197,1.284
198,1.22
199,1.819
200,2.309
201,1.065
202,1.057
203,1.984
204,1.349
205,1.048
206,1.111
207,1.223
208,1.172
209,1.058
210,1.021
211,1.626
212,1.342
213,2.267
214,1.232
215,1.028
216,1.068
217,1.141
218,1.162
219,1.127
220,1.114
221,1.147
222,1.22
223,1.522
224,1.748
225,1.298
226,1.208
227,1.234
228,1.079
229,1.135
230,1.136
231,1.367
232,1.46
233,1.092
234,1.082
235,1.176
236,1.615
237,1.132
238,1.356
239,1.93
240,1.06
241,1.06
242,1.39
243,1.112
244,1.051
245,1.093
246,1.869
247,1.068
248,1.366
249,1.347
250,1.129
251,1.174
252,2.062
253,1.073
254,1.233
255,1.054
256,1.082
257,1.337
258,1.29
259,1.116
260,1.184
261,1.618
262,1.095
263,1.146
264,1.095
265,1.461
266,1.244
267,1.067
268,1.244
269,1.131
270,1.107
271,2.282
272,1.65
273,1.108
274,1.268
275,1.381
276,1.38
277,2.107
278,1.136
279,1.067
280,1.997
281,1.282
282,1.046
283,1.073
284,1.275
285,2.477
286,1.055
287,1.036
288,1.096
289,1.073
290,1.483
291,1.628
292,1.037
293,1.064
294,1.135
295,1.189
296,1.108
297,1.496
298,1.208
299,1.3
300,1.301
301,1.239
302,1.305
303,1.364
304,2.343
305,1.061
306,1.138
307,1.086
308,1.908
309,1.145
310,1.176
311,1.137
312,1.505
313,1.699
314,1.224
315,2.192
316,1.059
317,1.146
318,1.229
319,1.224
320,1.298
321,1.085
322,2.765
323,1.674
324,1.743
325,1.79
326,1.229
327,1.298
328,1.148
329,1.474
330,1.213
331,1.543
332,1.712
333,1.174
334,1.529
335,1.063
336,1.115
337,1.15
338,1.141
339,2.061
340,1.103
341,1.232
342,1.617
