node,avg_spread
0,2563.84
1,2036.09
2,1505.4
3,2164.7
4,859.08
5,1839.72
6,381.78
7,2220.6
8,444.04
9,2608.05
10,1664.75
11,328.68
12,238.24
13,2453.22
14,1378.83
15,241.85
16,1389.17
17,1392.94
18,200.01
19,1204.72
20,1440.57
21,2678.0
22,1730.12
23,1149.0
24,1848.45
25,2599.82
26,2692.29
27,796.53
28,1307.92
29,1772.36
30,2174.89
31,2406.72
32,611.32
33,231.94
34,976.98
35,321.57
36,1470.88
37,476.95
38,1377.88
39,1828.73
40,2413.62
41,1483.11
42,249.62
43,269.46
44,831.9
45,1815.79
46,531.81
47,471.77
48,2176.67
49,296.43
50,1613.39
51,760.08
52,351.37
53,2480.97
54,1380.88
55,2196.89
56,2488.39
57,1792.54
58,1509.04
59,2105.37
60,1281.99
61,507.72
62,2451.23
63,1239.82
64,1235.28
65,1912.63
66,2070.87
67,2687.1
68,770.06
69,1782.83
70,324.21
71,412.82
72,2334.06
73,1792.08
74,60.56
75,2171.52
76,621.7
77,997.09
78,754.57
79,2144.72
80,2116.89
81,360.21
82,2450.56
83,1059.52
84,2042.02
85,1979.18
86,687.7
87,1769.72
88,2158.53
89,537.21
90,209.83
91,499.71
92,2100.46
93,1119.01
94,2208.55
95,265.77
96,1566.77
97,351.09
98,2574.73
99,841.95
100,954.38
101,1726.74
102,899.51
103,2241.07
104,2531.89
105,1962.51
106,1383.42
107,2893.41
108,1420.08
109,2677.18
110,526.38
111,1219.84
112,321.26
113,2509.66
114,209.02
115,1487.22
116,1415.59
117,941.63
118,2479.46
119,2701.0
120,618.11
121,1782.69
122,2632.85
123,2224.56
124,503.41
125,1119.22
126,1208.03
127,1781.89
128,2454.11
129,1500.03
130,1975.68
131,590.26
132,1974.95
133,1879.31
134,2326.51
135,1470.37
136,2881.9
137,1239.98
138,90.71
139,1244.73
140,1096.73
141,2544.47
142,2591.24
143,1018.78
144,1371.47
145,297.34
146,1404.13
147,355.57
148,2281.89
149,1215.33
150,1328.74
151,914.71
152,619.98
153,560.34
154,352.36
155,266.96
156,1844.5
157,297.67
158,2280.75
159,1532.96
160,384.6
161,2533.37
162,1135.94
163,969.29
164,649.71
165,1721.81
166,467.01
167,736.09
168,1587.84
169,2655.6
170,2445.0
171,1825.2
172,2534.06
173,1223.48
174,592.7
175,1238.0
176,2169.43
177,918.0
178,1734.19
179,148.68
180,2013.75
181,680.54
182,326.67
183,672.23
184,1590.56
185,2375.97
186,2436.54
187,1642.82
188,2635.66
189,1059.24
190,469.85
191,537.75
192,326.75
193,389.24
194,1958.76
195,855.6
196,1693.78
197,1736.63
198,965.09
199,2471.96
200,2678.27
201,355.9
202,656.66
203,2687.68
204,2342.15
205,147.91
206,616.17
207,731.84
208,1293.47
209,350.9
210,177.41
211,2477.29
212,2010.12
213,2711.19
214,1216.73
215,175.66
216,153.44
217,1077.03
218,619.39
219,585.08
220,765.57
221,966.61
222,1659.26
223,2451.7
224,2278.94
225,795.11
226,1333.15
227,1006.3
228,530.42
229,1261.5
230,655.21
231,2292.62
232,2256.59
233,470.1
234,614.81
235,705.74
236,2560.4
237,1206.83
238,2120.1
239,2690.34
240,732.83
241,358.64
242,2347.53
243,627.59
244,359.16
245,256.29
246,1837.87
247,386.29
248,2292.57
249,2367.74
250,912.3
251,1799.51
252,2637.5
253,325.91
