node,avg_spread
0,6.4
1,1.536
2,1.127
3,1.33
4,1.15
5,1.192
6,1.114
7,2.137
8,1.131
9,2.168
10,1.231
11,1.027
12,1.026
13,1.538
14,1.242
15,1.053
16,1.18
17,1.179
18,1.064
19,1.242
20,1.221
21,2.794
22,1.211
23,1.223
24,1.262
25,2.04
26,2.251
27,1.141
28,1.229
29,1.209
30,1.289
31,1.398
32,1.097
33,1.086
34,1.178
35,1.057
36,1.166
37,1.031
38,1.169
39,1.274
40,1.717
41,1.342
42,1.057
43,1.025
44,1.092
45,1.26
46,1.109
47,1.031
48,1.383
49,1.156
50,1.216
51,1.17
52,1.032
53,1.439
54,1.181
55,1.356
56,2.615
57,1.26
58,3.54
59,1.401
60,1.2
61,1.058
62,1.574
63,1.113
64,1.13
65,1.294
66,1.35
67,3.049
68,1.12
69,1.254
70,1.068
71,1.075
72,1.49
73,1.196
74,1.021
75,1.246
76,1.087
77,1.148
78,1.129
79,1.256
80,1.375
81,1.051
82,1.532
83,1.189
84,1.19
85,1.258
86,1.145
87,1.287
88,1.372
89,1.215
90,1.076
91,1.167
92,1.354
93,1.154
94,1.416
95,1.107
96,1.145
97,1.069
98,1.868
99,1.213
100,1.109
101,1.247
102,1.12
103,2.033
104,1.85
105,1.267
106,1.119
107,72.68
108,1.207
109,1.716
110,1.114
111,1.226
112,1.056
113,1.754
114,1.031
115,1.33
116,1.216
117,1.154
118,1.619
119,2.205
120,1.211
121,1.487
122,2.197
123,1.409
124,1.114
125,1.145
126,1.128
127,1.249
128,1.518
129,1.159
130,1.235
131,1.11
132,1.321
133,1.303
134,1.375
135,1.327
136,33.936
137,1.226
138,1.051
139,1.131
140,1.215
141,1.502
142,1.725
143,1.18
144,1.204
145,1.062
146,1.308
147,1.107
148,1.375
149,1.135
150,1.218
151,1.143
152,1.09
153,1.039
154,1.078
155,1.077
156,1.678
157,1.085
158,1.409
159,1.38
160,1.095
161,1.465
162,1.133
163,1.102
164,1.05
165,1.21
166,1.087
167,1.128
168,1.174
169,2.314
170,1.777
171,2.236
172,1.699
173,1.449
174,1.115
175,1.23
176,1.333
177,1.168
178,1.211
179,1.059
180,1.296
181,1.18
182,1.08
183,1.085
184,1.399
185,1.423
186,2.017
187,1.262
188,2.198
189,1.164
190,1.107
191,1.071
192,1.124
193,1.095
194,1.26
195,1.158
196,1.272
197,1.372
198,1.191
199,1.853
200,2.056
201,1.112
202,1.085
203,1.929
204,1.35
205,1.099
206,1.082
207,1.207
208,1.138
209,1.035
210,1.031
211,1.485
212,1.344
213,1.961
214,1.227
215,1.128
216,1.077
217,1.279
218,1.188
219,1.094
220,1.101
221,1.376
222,1.171
223,1.532
224,1.475
225,1.178
226,1.231
227,1.194
228,1.115
229,1.124
230,1.184
231,1.314
232,1.641
233,1.091
234,1.049
235,1.121
236,1.618
237,1.13
238,1.429
239,2.129
240,1.068
241,1.05
242,1.382
243,1.1
244,1.05
245,1.082
246,1.35
247,1.118
248,1.702
249,1.357
250,1.117
251,1.258
252,2.079
253,1.082
254,1.291
255,1.061
256,1.205
257,1.725
258,1.254
259,1.122
260,1.154
261,1.719
262,1.099
263,1.106
264,1.078
265,1.514
266,1.237
267,1.065
268,1.211
269,1.141
270,1.109
271,2.409
272,1.733
273,1.139
274,1.239
275,1.132
276,1.404
277,2.656
278,1.15
279,1.05
280,1.776
281,1.258
282,1.048
283,1.133
284,1.285
285,2.287
286,1.072
287,1.027
288,1.087
289,1.097
290,1.299
291,1.574
292,1.044
293,1.058
294,1.092
295,1.204
296,1.127
297,1.472
298,1.22
299,1.507
300,1.089
301,1.056
302,1.237
303,1.563
304,2.141
305,1.052
306,1.276
307,1.165
308,1.779
309,1.134
310,1.174
311,1.137
312,1.333
313,1.684
314,1.231
315,2.344
316,1.075
317,1.166
318,1.251
319,1.142
320,1.355
321,1.114
322,2.59
323,1.715
324,1.46
325,1.748
326,1.408
327,1.077
328,1.133
329,1.489
330,1.207
331,1.409
332,1.871
333,1.135
334,1.519
335,1.096
336,1.242
337,1.122
338,1.141
339,2.053
340,1.676
341,1.244
342,1.621
343,1.297
344,1.205
345,1.57
346,1.569
347,1.11
348,6.649
414,4.836
